Timestamp,What is your age range?,What’s your general mood?,What are your hobbies?,Are you open to new things?,What are you going to do while you listen to music?,How loud of music can you handle ,What kind of music do you usually listen to?
2/12/2024 10:59:42,11-18,Stressed,Drawing,Yes,Playing video games,Very loud,Pop
2/12/2024 10:59:46,11-18,Happy,Drawing,Yes,Working out,Loud,Pop
2/12/2024 11:05:04,11-18,Stressed,Gaming,I Dont care,Just listening because why not,Very loud,Rock
2/12/2024 11:30:08,11-18,Calm,Other/None of these,Yes,Other,Very loud,Jazz
2/12/2024 11:53:55,11-18,Happy,Other/None of these,Maybe,Other,Loud,Country
2/12/2024 11:55:19,11-18,Happy,Drawing,Maybe,Just listening because why not,Loud,Hip-Hop
2/12/2024 11:55:51,11-18,Happy,Other/None of these,Yes,Cleaning,Quiet,Pop
2/12/2024 11:56:48,11-18,Calm,Drawing,Maybe,Playing video games,Very loud,Classical
2/12/2024 12:10:13,11-18,Happy,Other/None of these,Yes,Just listening because why not,Loud,Rap
2/12/2024 12:26:24,33-49+,Angry,Gaming,No,Playing video games,Very loud,K-Pop
2/12/2024 12:41:28,11-18,Calm,Other/None of these,Yes,Other,Very loud,Jazz
2/12/2024 12:56:28,11-18,Happy,Weight Lifting,Yes,Just listening because why not,Loud,Country
2/12/2024 13:12:46,11-18,Calm,Gaming,Maybe,Playing video games,Loud,Rap
2/12/2024 13:23:44,11-18,Happy,Dancing,Yes,Cleaning,Very loud,Pop
2/12/2024 13:25:47,11-18,Calm,Gaming,I Dont care,Playing video games,Very loud,Rock
2/12/2024 13:32:26,11-18,Calm,Weight Lifting,Yes,Working out,Quiet,Rap
2/12/2024 13:33:37,33-49+,Sad,Drawing,I Dont care,Falling asleep/Sleeping,Very loud,Rock
2/12/2024 14:04:48,11-18,Happy,Gaming,Maybe,Playing video games,Very loud,Rock
2/12/2024 14:12:29,33-49+,Angry,Other/None of these,No,Other,Very Quiet,Classical
2/12/2024 15:08:12,11-18,Stressed,Dancing,Yes,Just listening because why not,Loud,Rock
2/12/2024 15:37:51,11-18,Happy,Other/None of these,I Dont care,Just listening because why not,Loud,Pop
2/12/2024 15:43:14,11-18,Calm,Dancing,I Dont care,Cleaning,Background noise,Pop
2/13/2024 7:30:35,11-18,Happy,Dancing,Yes,Cleaning,Very loud,Pop
2/13/2024 8:40:11,11-18,Stressed,Weight Lifting,Maybe,Homework,Background noise,Pop
2/13/2024 8:42:31,11-18,Happy,Drawing,I Dont care,Other,Very loud,Pop
2/13/2024 9:29:26,33-49+,Angry,Weight Lifting,I Dont care,Falling asleep/Sleeping,Very loud,K-Pop
2/13/2024 12:16:39,11-18,Stressed,Other/None of these,Maybe,Working out,Very loud,Country
2/13/2024 12:27:15,11-18,Stressed,Dancing,I Dont care,Homework,Loud,Rap
2/13/2024 13:57:17,11-18,Happy,Gaming,Yes,Just listening because why not,Loud,Hip-Hop
2/13/2024 14:08:38,11-18,Happy,Weight Lifting,Yes,Playing video games,Loud,Pop
2/13/2024 15:08:33,11-18,Happy,Other/None of these,Yes,Working out,Loud,Rock
2/13/2024 15:22:43,11-18,Calm,Dancing,I Dont care,Cleaning,Loud,Pop
2/13/2024 16:48:58,11-18,Happy,Other/None of these,Maybe,Cleaning,Loud,Country
2/14/2024 20:14:42,11-18,Happy,Other/None of these,Maybe,Homework,Loud,Pop
2/15/2024 9:37:56,33-49+,Angry,Dancing,No,Working out,Very loud,K-Pop
2/15/2024 11:11:15,11-18,Calm,Other/None of these,Yes,Just listening because why not,Loud,Pop
2/15/2024 16:20:34,33-49+,Happy,Other/None of these,Yes,Cleaning,Loud,Pop
2/15/2024 20:54:28,33-49+,Happy,Gaming,Yes,Just listening because why not,Very loud,Metal
2/19/2024 17:10:32,11-18,Happy,Drawing,Yes,Playing video games,Very loud,Rap
2/21/2024 9:28:37,11-18,Calm,Drawing,Maybe,Just listening because why not,Very loud,Metal
